part_id,nsn,part_name,part_family,criticality
PART-0348,451-844-843-174,Fuel Metering Unit Extended Range Variant 2,Fuel Systems,Medium
PART-0349,407-250-558-470,Fan Drive Belt Field Repair Variant 2,Cooling Systems,Low
PART-0350,172-662-495-236,Latch Mechanism Depot Level Variant 2,Structural,Medium
PART-0351,703-591-342-554,Control Manifold Mk I Variant 2,Pneumatics,Medium
PART-0352,651-85-714-98,Trigger Control Module Mk II Variant 2,Weapons Support,High
PART-0353,5-207-242-329,Flow Sensor Mk III Variant 2,Sensors,Medium
PART-0354,520-844-247-388,CO2 Scrubber Cartridge Type A Variant 2,Life Support,Medium
PART-0355,123-357-785-198,Anti-Seize Compound Type B Variant 2,Maintenance Consumables,Medium
PART-0356,975-519-163-328,Final Drive Gear Type C Variant 2,Powertrain,High
PART-0357,651-579-387-232,Caliper Piston Seal Heavy Duty Variant 2,Braking Systems,Medium
PART-0358,887-793-791-447,Timing Receiver Extended Range Variant 2,Navigation,Low
PART-0359,609-91-106-668,Dock Ramp Hinge Field Repair Variant 2,Logistics Equipment,High
PART-0360,686-271-284-782,Access Control Reader Depot Level Variant 2,Cyber Systems,Medium
PART-0361,487-135-965-329,Pump Drive Coupling Mk I Variant 2,Hydraulics,High
PART-0362,627-53-376-161,Ground Strap Mk II Variant 2,Electrical,Medium
PART-0363,37-338-130-875,Sensor Interface Board Mk III Variant 2,Avionics,Medium
PART-0364,619-416-331-983,Exhaust Clamp Type A Variant 2,Engines,High
PART-0365,816-220-425-458,Fuel Tank Sender Type B Variant 2,Ground Vehicles,Mission Critical
PART-0366,717-654-821-858,Audio Interface Cable Type C Variant 2,Communications,Mission Critical
PART-0367,883-634-761-124,Radar Processor Card Heavy Duty Variant 2,Radar,Low
PART-0368,788-489-912-401,Quick Disconnect Coupler Extended Range Variant 2,Fuel Systems,Mission Critical
PART-0369,526-214-209-83,Coolant Filter Field Repair Variant 2,Cooling Systems,Medium
PART-0370,635-703-682-950,Armor Panel Insert Depot Level Variant 2,Structural,Medium
PART-0371,688-509-483-20,Pressure Gauge Mk I Variant 2,Pneumatics,Medium
PART-0372,151-531-651-269,Traverse Gear Set Mk II Variant 2,Weapons Support,Medium
PART-0373,771-932-206-410,Gyro Sensor Assembly Mk III Variant 2,Sensors,High
PART-0374,299-972-155-967,Ventilation Fan Type A Variant 2,Life Support,Medium
PART-0375,387-75-505-479,Protective Cap Set Type B Variant 2,Maintenance Consumables,Medium
PART-0376,533-74-794-835,Powertrain Mount Type C Variant 2,Powertrain,Medium
PART-0377,595-358-420-145,Brake Fluid Reservoir Heavy Duty Variant 2,Braking Systems,Mission Critical
PART-0378,816-685-85-225,Navigation Switch Panel Extended Range Variant 2,Navigation,Medium
PART-0379,575-290-901-832,Cargo Net Kit Field Repair Variant 2,Logistics Equipment,High
PART-0380,142-525-872-739,Rugged Tablet Battery Depot Level Variant 2,Cyber Systems,Medium
PART-0381,202-983-263-9,Return Line Fitting Mk I Variant 2,Hydraulics,Mission Critical
PART-0382,894-871-150-786,Load Center Panel Mk II Variant 2,Electrical,Low
PART-0383,513-318-641-678,Data Bus Adapter Mk III Variant 2,Avionics,Low
PART-0384,58-614-500-993,Combustion Liner Type A Variant 2,Engines,Medium
PART-0385,637-615-288-74,Vehicle Control Module Type B Variant 2,Ground Vehicles,Medium
PART-0386,951-472-827-402,Radio Control Head Type C Variant 2,Communications,Medium
PART-0387,959-856-331-865,Array Panel Segment Heavy Duty Variant 2,Radar,Medium
PART-0388,281-773-677-851,Fuel Sampling Kit Extended Range Variant 2,Fuel Systems,Medium
PART-0389,557-858-423-817,Thermal Control Valve Field Repair Variant 2,Cooling Systems,Medium
PART-0390,629-18-105-403,Door Seal Strip Depot Level Variant 2,Structural,Low
PART-0391,205-882-349-912,Bleed Valve Mk I Variant 2,Pneumatics,High
PART-0392,364-94-11-872,Safety Interlock Switch Mk II Variant 2,Weapons Support,Medium
PART-0393,24-446-634-965,Humidity Sensor Mk III Variant 2,Sensors,High
PART-0394,809-990-712-910,Life Support Control Panel Type A Variant 2,Life Support,Medium
PART-0395,760-634-338-242,Safety Wire Spool Type B Variant 2,Maintenance Consumables,High
PART-0396,319-578-508-418,Transmission Control Solenoid Type C Variant 2,Powertrain,Low
PART-0397,922-944-91-732,Wheel Cylinder Heavy Duty Variant 2,Braking Systems,Medium
PART-0398,651-427-916-111,Waypoint Control Unit Extended Range Variant 2,Navigation,Low
PART-0399,823-377-630-636,Material Handling Roller Field Repair Variant 2,Logistics Equipment,Medium
PART-0400,903-163-747-467,System Drive Caddy Depot Level Variant 2,Cyber Systems,Medium
PART-0401,744-633-288-185,Hydraulic Seal Kit Mk I Variant 3,Hydraulics,High
PART-0402,641-523-270-204,Wiring Harness Mk II Variant 3,Electrical,High
PART-0403,42-790-886-225,Navigation Control Unit Mk III Variant 3,Avionics,Medium
PART-0404,877-476-285-438,Fuel Injector Assembly Type A Variant 3,Engines,Medium
PART-0405,769-920-884-394,Track Tensioner Assembly Type B Variant 3,Ground Vehicles,High
PART-0406,429-398-636-14,Radio Mounting Tray Type C Variant 3,Communications,Medium
PART-0407,763-187-788-229,Waveguide Section Heavy Duty Variant 3,Radar,Low
PART-0408,10-202-914-29,Fuel Pump Cartridge Extended Range Variant 3,Fuel Systems,Mission Critical
PART-0409,57-477-140-875,Cooling Fan Assembly Field Repair Variant 3,Cooling Systems,Low
PART-0410,47-980-430-62,Access Panel Depot Level Variant 3,Structural,Medium
PART-0411,276-394-828-819,Air Compressor Valve Mk I Variant 3,Pneumatics,Medium
PART-0412,730-837-18-434,Fire Control Cable Mk II Variant 3,Weapons Support,High
PART-0413,530-284-852-195,Temperature Probe Mk III Variant 3,Sensors,Low
PART-0414,457-749-234-232,Oxygen Hose Assembly Type A Variant 3,Life Support,Mission Critical
PART-0415,877-583-254-61,Gasket Set Type B Variant 3,Maintenance Consumables,High
PART-0416,402-66-696-499,Drive Shaft Assembly Type C Variant 3,Powertrain,Medium
PART-0417,318-284-476-468,Brake Pad Set Heavy Duty Variant 3,Braking Systems,Medium
PART-0418,68-145-831-823,GPS Antenna Extended Range Variant 3,Navigation,Mission Critical
PART-0419,458-40-732-165,Cargo Tie-Down Strap Field Repair Variant 3,Logistics Equipment,High
PART-0420,253-151-500-347,Secure Network Card Depot Level Variant 3,Cyber Systems,Medium
PART-0421,237-607-705-768,Hydraulic Pump Assembly Mk I Variant 3,Hydraulics,Medium
PART-0422,527-649-987-893,Power Distribution Module Mk II Variant 3,Electrical,Medium
PART-0423,274-468-192-325,Radar Interface Module Mk III Variant 3,Avionics,Mission Critical
PART-0424,917-80-335-225,Turbine Blade Set Type A Variant 3,Engines,Medium
PART-0425,835-199-139-394,Road Wheel Bearing Type B Variant 3,Ground Vehicles,Mission Critical
PART-0426,375-646-651-794,Encryption Module Type C Variant 3,Communications,High
PART-0427,464-657-951-23,Radar Cooling Fan Heavy Duty Variant 3,Radar,Low
PART-0428,596-992-659-654,Fuel Line Assembly Extended Range Variant 3,Fuel Systems,Medium
PART-0429,268-355-974-28,Heat Exchanger Core Field Repair Variant 3,Cooling Systems,High
PART-0430,228-227-386-254,Mounting Bracket Depot Level Variant 3,Structural,Medium
PART-0431,43-69-494-839,Pneumatic Hose Kit Mk I Variant 3,Pneumatics,Low
PART-0432,478-303-781-130,Mount Stabilizer Bearing Mk II Variant 3,Weapons Support,Medium
PART-0433,166-878-373-286,Pressure Transducer Mk III Variant 3,Sensors,Low
PART-0434,629-540-373-945,Breathing Regulator Type A Variant 3,Life Support,Medium
PART-0435,878-558-626-448,O-Ring Assortment Type B Variant 3,Maintenance Consumables,High
PART-0436,387-462-332-257,Clutch Plate Kit Type C Variant 3,Powertrain,Medium
PART-0437,887-949-210-470,Brake Rotor Heavy Duty Variant 3,Braking Systems,Medium
PART-0438,23-26-251-179,Inertial Measurement Unit Extended Range Variant 3,Navigation,Low
PART-0439,481-66-447-935,Pallet Lock Assembly Field Repair Variant 3,Logistics Equipment,High
PART-0440,817-180-915-145,Rugged Server Power Supply Depot Level Variant 3,Cyber Systems,Medium
PART-0441,645-825-84-555,Pressure Relief Valve Mk I Variant 3,Hydraulics,Mission Critical
PART-0442,179-16-61-1,Circuit Breaker Mk II Variant 3,Electrical,Medium
PART-0443,107-958-573-907,Signal Processor Card Mk III Variant 3,Avionics,Medium
PART-0444,762-360-966-647,Ignition Exciter Type A Variant 3,Engines,High
PART-0445,493-130-119-480,Brake Caliper Kit Type B Variant 3,Ground Vehicles,Low
PART-0446,951-935-91-475,Coaxial Cable Assembly Type C Variant 3,Communications,High
PART-0447,531-628-860-716,Receiver Module Heavy Duty Variant 3,Radar,Low
PART-0448,806-953-741-749,Fuel Pressure Sensor Extended Range Variant 3,Fuel Systems,High
PART-0449,391-343-660-25,Coolant Pump Field Repair Variant 3,Cooling Systems,Medium
PART-0450,429-185-307-132,Frame Reinforcement Plate Depot Level Variant 3,Structural,Medium
PART-0451,608-464-867-228,Pressure Regulator Mk I Variant 3,Pneumatics,High
PART-0452,418-935-515-40,Recoil Buffer Seal Mk II Variant 3,Weapons Support,Medium
PART-0453,202-686-860-626,Optical Sensor Module Mk III Variant 3,Sensors,Mission Critical
PART-0454,24-71-774-64,Air Filtration Cartridge Type A Variant 3,Life Support,High
PART-0455,147-801-257-409,Lubricant Pack Type B Variant 3,Maintenance Consumables,Medium
PART-0456,502-160-113-129,Gearbox Seal Type C Variant 3,Powertrain,High
PART-0457,225-478-610-924,Hydraulic Brake Line Heavy Duty Variant 3,Braking Systems,Medium
PART-0458,171-28-889-358,Compass Sensor Extended Range Variant 3,Navigation,Medium
PART-0459,417-39-676-799,Forklift Chain Field Repair Variant 3,Logistics Equipment,High
PART-0460,290-839-102-960,Data Storage Module Depot Level Variant 3,Cyber Systems,Low
PART-0461,233-377-890-593,Actuator Cylinder Mk I Variant 3,Hydraulics,Medium
PART-0462,210-228-412-192,Voltage Regulator Mk II Variant 3,Electrical,High
PART-0463,837-109-230-296,Flight Data Connector Mk III Variant 3,Avionics,Medium
PART-0464,563-126-951-5,Oil Filter Cartridge Type A Variant 3,Engines,Mission Critical
PART-0465,314-574-768-772,Transmission Filter Type B Variant 3,Ground Vehicles,Medium
PART-0466,388-313-880-156,Antenna Mast Section Type C Variant 3,Communications,High
PART-0467,635-340-230-985,Transmitter Power Supply Heavy Duty Variant 3,Radar,Mission Critical
PART-0468,674-370-988-624,Fuel Filter Housing Extended Range Variant 3,Fuel Systems,Medium
PART-0469,309-520-817-437,Thermostat Housing Field Repair Variant 3,Cooling Systems,Medium
PART-0470,566-313-735-789,Hinge Assembly Depot Level Variant 3,Structural,Medium
PART-0471,887-2-853-325,Air Dryer Cartridge Mk I Variant 3,Pneumatics,Medium
PART-0472,182-53-562-472,Turret Slip Ring Mk II Variant 3,Weapons Support,High
PART-0473,210-345-936-150,Vibration Sensor Mk III Variant 3,Sensors,Mission Critical
PART-0474,538-976-140-575,Mask Connector Kit Type A Variant 3,Life Support,High
PART-0475,346-112-363-11,Threaded Insert Kit Type B Variant 3,Maintenance Consumables,Low
PART-0476,955-283-179-250,Torque Converter Type C Variant 3,Powertrain,High
PART-0477,768-489-505-67,Master Cylinder Kit Heavy Duty Variant 3,Braking Systems,High
PART-0478,130-265-576-954,Navigation Display Cable Extended Range Variant 3,Navigation,Mission Critical
PART-0479,868-431-475-589,Container Latch Field Repair Variant 3,Logistics Equipment,High
PART-0480,322-38-565-620,Firewall Appliance Fan Depot Level Variant 3,Cyber Systems,Medium
PART-0481,512-873-549-478,Hydraulic Hose Assembly Mk I Variant 3,Hydraulics,Medium
PART-0482,18-76-324-140,Battery Cable Assembly Mk II Variant 3,Electrical,Low
PART-0483,428-778-381-226,Antenna Coupler Mk III Variant 3,Avionics,Medium
PART-0484,155-72-520-171,Compressor Seal Type A Variant 3,Engines,Medium
PART-0485,793-879-292-801,Steering Linkage Type B Variant 3,Ground Vehicles,Medium
PART-0486,943-100-735-27,Handset Assembly Type C Variant 3,Communications,Medium
PART-0487,284-73-417-922,Phase Shifter Unit Heavy Duty Variant 3,Radar,Medium
PART-0488,382-384-786-821,Refueling Adapter Extended Range Variant 3,Fuel Systems,High
PART-0489,353-313-347-94,Radiator Hose Kit Field Repair Variant 3,Cooling Systems,Low
PART-0490,996-465-269-744,Fastener Kit Depot Level Variant 3,Structural,High
PART-0491,854-216-910-632,Pneumatic Actuator Mk I Variant 3,Pneumatics,Medium
PART-0492,702-355-823-481,Elevation Drive Motor Mk II Variant 3,Weapons Support,Medium
PART-0493,650-44-844-662,Position Encoder Mk III Variant 3,Sensors,High
PART-0494,674-335-577-21,Pressure Bottle Valve Type A Variant 3,Life Support,High
PART-0495,695-38-575-34,Adhesive Sealant Tube Type B Variant 3,Maintenance Consumables,Medium
PART-0496,647-38-522-205,Transfer Case Chain Type C Variant 3,Powertrain,Medium
PART-0497,590-88-534-283,Parking Brake Cable Heavy Duty Variant 3,Braking Systems,High
PART-0498,606-333-119-994,Position Reference Module Extended Range Variant 3,Navigation,Low
PART-0499,712-994-867-880,Load Sensor Pad Field Repair Variant 3,Logistics Equipment,High
PART-0500,867-338-714-939,Crypto Key Loader Cable Depot Level Variant 3,Cyber Systems,High
PART-0501,539-155-20-136,Fluid Reservoir Cap Mk I Variant 3,Hydraulics,High
PART-0502,563-945-452-997,Terminal Block Mk II Variant 3,Electrical,High
PART-0503,164-430-618-51,Transponder Module Mk III Variant 3,Avionics,High
PART-0504,788-322-28-51,Engine Mount Bracket Type A Variant 3,Engines,Medium
PART-0505,738-336-143-592,Axle Seal Type B Variant 3,Ground Vehicles,Medium
PART-0506,538-693-135-865,Signal Amplifier Type C Variant 3,Communications,Mission Critical
PART-0507,853-409-586-640,Antenna Drive Motor Heavy Duty Variant 3,Radar,High
PART-0508,257-116-312-246,Fuel Shutoff Valve Extended Range Variant 3,Fuel Systems,Low
PART-0509,524-197-742-347,Temperature Sensor Field Repair Variant 3,Cooling Systems,Medium
PART-0510,182-564-212-595,Support Strut Depot Level Variant 3,Structural,Low
PART-0511,540-489-521-698,Quick Release Valve Mk I Variant 3,Pneumatics,Mission Critical
PART-0512,84-672-285-15,Sight Mount Bracket Mk II Variant 3,Weapons Support,Medium
PART-0513,568-254-823-231,Proximity Switch Mk III Variant 3,Sensors,High
PART-0514,351-515-452-960,Cabin Air Duct Type A Variant 3,Life Support,Medium
PART-0515,786-35-64-765,Cleaning Solvent Kit Type B Variant 3,Maintenance Consumables,Low
PART-0516,294-668-576-998,Engine Coupling Type C Variant 3,Powertrain,Mission Critical
PART-0517,755-821-736-623,ABS Sensor Heavy Duty Variant 3,Braking Systems,High
PART-0518,817-229-29-352,Map Data Cartridge Extended Range Variant 3,Navigation,Medium
PART-0519,571-331-762-921,Tow Bar Pin Field Repair Variant 3,Logistics Equipment,High
PART-0520,514-833-579-470,Network Switch Module Depot Level Variant 3,Cyber Systems,Mission Critical
PART-0521,81-391-324-145,Hydraulic Filter Element Mk I Variant 3,Hydraulics,Medium
PART-0522,758-984-114-842,Relay Module Mk II Variant 3,Electrical,Low
PART-0523,512-195-113-455,Mission Computer Card Mk III Variant 3,Avionics,Medium
PART-0524,787-156-668-969,Fuel Control Valve Type A Variant 3,Engines,High
PART-0525,289-150-442-736,Suspension Arm Type B Variant 3,Ground Vehicles,Medium
PART-0526,380-316-136-532,Frequency Selector Unit Type C Variant 3,Communications,Medium
PART-0527,592-71-468-652,Signal Conditioning Board Heavy Duty Variant 3,Radar,High
PART-0528,255-334-257-575,Fuel Tank Vent Extended Range Variant 3,Fuel Systems,Medium
PART-0529,478-129-918-754,Expansion Tank Field Repair Variant 3,Cooling Systems,Medium
PART-0530,408-749-554-717,Bulkhead Repair Panel Depot Level Variant 3,Structural,Medium
PART-0531,226-512-954-810,Air Reservoir Fitting Mk I Variant 3,Pneumatics,High
PART-0532,790-350-717-892,Ammunition Feed Guide Mk II Variant 3,Weapons Support,Medium
PART-0533,284-249-263-370,Infrared Detector Mk III Variant 3,Sensors,Medium
PART-0534,486-470-382-421,Emergency Oxygen Valve Type A Variant 3,Life Support,Low
PART-0535,362-165-399-447,Grease Cartridge Type B Variant 3,Maintenance Consumables,High
PART-0536,3-585-814-723,Universal Joint Type C Variant 3,Powertrain,High
PART-0537,834-165-183-569,Brake Booster Valve Heavy Duty Variant 3,Braking Systems,Mission Critical
PART-0538,525-685-996-342,Heading Processor Extended Range Variant 3,Navigation,Medium
PART-0539,306-855-271-803,Lift Cylinder Seal Field Repair Variant 3,Logistics Equipment,Low
PART-0540,620-678-447-527,Fiber Patch Cable Depot Level Variant 3,Cyber Systems,Medium
PART-0541,626-728-609-509,Servo Valve Mk I Variant 3,Hydraulics,Low
PART-0542,539-935-77-614,Connector Kit Mk II Variant 3,Electrical,Low
PART-0543,773-285-737-772,Display Control Panel Mk III Variant 3,Avionics,Low
PART-0544,633-439-17-448,Starter Generator Type A Variant 3,Engines,Medium
PART-0545,10-337-102-0,Differential Gear Set Type B Variant 3,Ground Vehicles,High
PART-0546,592-391-317-278,Comms Power Adapter Type C Variant 3,Communications,Mission Critical
PART-0547,191-466-189-693,RF Cable Assembly Heavy Duty Variant 3,Radar,Low
PART-0548,766-220-496-527,Fuel Metering Unit Extended Range Variant 3,Fuel Systems,Medium
PART-0549,814-152-426-567,Fan Drive Belt Field Repair Variant 3,Cooling Systems,Medium
PART-0550,913-287-150-796,Latch Mechanism Depot Level Variant 3,Structural,High
PART-0551,530-174-790-169,Control Manifold Mk I Variant 3,Pneumatics,Medium
PART-0552,621-749-227-922,Trigger Control Module Mk II Variant 3,Weapons Support,Low
PART-0553,922-851-227-520,Flow Sensor Mk III Variant 3,Sensors,Mission Critical
PART-0554,381-823-806-21,CO2 Scrubber Cartridge Type A Variant 3,Life Support,Low
PART-0555,667-607-360-493,Anti-Seize Compound Type B Variant 3,Maintenance Consumables,Low
PART-0556,19-348-957-236,Final Drive Gear Type C Variant 3,Powertrain,Mission Critical
PART-0557,751-922-970-861,Caliper Piston Seal Heavy Duty Variant 3,Braking Systems,Medium
PART-0558,726-327-108-812,Timing Receiver Extended Range Variant 3,Navigation,Medium
PART-0559,339-190-326-475,Dock Ramp Hinge Field Repair Variant 3,Logistics Equipment,Medium
PART-0560,481-808-274-176,Access Control Reader Depot Level Variant 3,Cyber Systems,Low
PART-0561,444-245-726-909,Pump Drive Coupling Mk I Variant 3,Hydraulics,High
PART-0562,182-931-842-544,Ground Strap Mk II Variant 3,Electrical,Medium
PART-0563,498-483-216-140,Sensor Interface Board Mk III Variant 3,Avionics,High
PART-0564,70-390-534-187,Exhaust Clamp Type A Variant 3,Engines,Low
PART-0565,727-196-773-210,Fuel Tank Sender Type B Variant 3,Ground Vehicles,Medium
PART-0566,31-809-927-99,Audio Interface Cable Type C Variant 3,Communications,High
PART-0567,226-819-84-588,Radar Processor Card Heavy Duty Variant 3,Radar,High
PART-0568,214-478-383-792,Quick Disconnect Coupler Extended Range Variant 3,Fuel Systems,Medium
PART-0569,338-318-637-786,Coolant Filter Field Repair Variant 3,Cooling Systems,Mission Critical
PART-0570,351-249-255-786,Armor Panel Insert Depot Level Variant 3,Structural,Medium
PART-0571,716-196-497-682,Pressure Gauge Mk I Variant 3,Pneumatics,Medium
PART-0572,912-334-345-568,Traverse Gear Set Mk II Variant 3,Weapons Support,Low
PART-0573,16-320-392-975,Gyro Sensor Assembly Mk III Variant 3,Sensors,High
PART-0574,778-672-333-713,Ventilation Fan Type A Variant 3,Life Support,Medium
PART-0575,224-110-172-894,Protective Cap Set Type B Variant 3,Maintenance Consumables,Medium
PART-0576,403-418-431-263,Powertrain Mount Type C Variant 3,Powertrain,Mission Critical
PART-0577,912-130-385-911,Brake Fluid Reservoir Heavy Duty Variant 3,Braking Systems,Medium
PART-0578,326-414-586-305,Navigation Switch Panel Extended Range Variant 3,Navigation,Medium
PART-0579,229-564-878-733,Cargo Net Kit Field Repair Variant 3,Logistics Equipment,Medium
PART-0580,72-547-988-264,Rugged Tablet Battery Depot Level Variant 3,Cyber Systems,Low
PART-0581,920-464-323-956,Return Line Fitting Mk I Variant 3,Hydraulics,Medium
PART-0582,177-992-40-192,Load Center Panel Mk II Variant 3,Electrical,Low
PART-0583,487-138-213-568,Data Bus Adapter Mk III Variant 3,Avionics,Medium
PART-0584,422-519-329-729,Combustion Liner Type A Variant 3,Engines,Medium
PART-0585,208-220-691-340,Vehicle Control Module Type B Variant 3,Ground Vehicles,Medium
PART-0586,402-654-351-680,Radio Control Head Type C Variant 3,Communications,Mission Critical
PART-0587,626-482-100-58,Array Panel Segment Heavy Duty Variant 3,Radar,Medium
PART-0588,345-552-805-245,Fuel Sampling Kit Extended Range Variant 3,Fuel Systems,Low
PART-0589,450-830-881-102,Thermal Control Valve Field Repair Variant 3,Cooling Systems,Low
PART-0590,154-732-104-585,Door Seal Strip Depot Level Variant 3,Structural,High
PART-0591,368-244-459-211,Bleed Valve Mk I Variant 3,Pneumatics,Low
PART-0592,611-576-257-784,Safety Interlock Switch Mk II Variant 3,Weapons Support,Medium
PART-0593,205-664-305-38,Humidity Sensor Mk III Variant 3,Sensors,Medium
PART-0594,34-998-175-988,Life Support Control Panel Type A Variant 3,Life Support,Medium
PART-0595,52-234-685-437,Safety Wire Spool Type B Variant 3,Maintenance Consumables,Medium
PART-0596,727-179-175-781,Transmission Control Solenoid Type C Variant 3,Powertrain,Medium
PART-0597,799-52-532-754,Wheel Cylinder Heavy Duty Variant 3,Braking Systems,Low
PART-0598,277-92-406-944,Waypoint Control Unit Extended Range Variant 3,Navigation,Medium
PART-0599,286-712-221-35,Material Handling Roller Field Repair Variant 3,Logistics Equipment,High
PART-0600,588-828-246-782,System Drive Caddy Depot Level Variant 3,Cyber Systems,High
PART-0601,58-158-348-209,Hydraulic Seal Kit Mk I Variant 4,Hydraulics,Medium
PART-0602,806-884-386-959,Wiring Harness Mk II Variant 4,Electrical,Medium
PART-0603,386-973-421-699,Navigation Control Unit Mk III Variant 4,Avionics,Medium
PART-0604,607-251-615-58,Fuel Injector Assembly Type A Variant 4,Engines,Low
PART-0605,522-997-111-958,Track Tensioner Assembly Type B Variant 4,Ground Vehicles,High
PART-0606,20-415-82-892,Radio Mounting Tray Type C Variant 4,Communications,High
PART-0607,967-502-533-892,Waveguide Section Heavy Duty Variant 4,Radar,Mission Critical
PART-0608,27-793-934-985,Fuel Pump Cartridge Extended Range Variant 4,Fuel Systems,Mission Critical
PART-0609,562-258-832-540,Cooling Fan Assembly Field Repair Variant 4,Cooling Systems,High
PART-0610,585-982-632-455,Access Panel Depot Level Variant 4,Structural,High
PART-0611,960-486-993-92,Air Compressor Valve Mk I Variant 4,Pneumatics,Low
PART-0612,260-853-101-208,Fire Control Cable Mk II Variant 4,Weapons Support,High
PART-0613,88-920-490-154,Temperature Probe Mk III Variant 4,Sensors,Medium
PART-0614,205-930-729-996,Oxygen Hose Assembly Type A Variant 4,Life Support,Medium
PART-0615,651-556-346-720,Gasket Set Type B Variant 4,Maintenance Consumables,Medium
PART-0616,902-557-432-72,Drive Shaft Assembly Type C Variant 4,Powertrain,High
PART-0617,135-393-863-159,Brake Pad Set Heavy Duty Variant 4,Braking Systems,Low
PART-0618,112-756-733-358,GPS Antenna Extended Range Variant 4,Navigation,High
PART-0619,743-262-904-0,Cargo Tie-Down Strap Field Repair Variant 4,Logistics Equipment,Mission Critical
PART-0620,199-776-252-479,Secure Network Card Depot Level Variant 4,Cyber Systems,Medium
PART-0621,27-565-206-592,Hydraulic Pump Assembly Mk I Variant 4,Hydraulics,Medium
PART-0622,3-903-409-73,Power Distribution Module Mk II Variant 4,Electrical,Medium
PART-0623,934-281-86-610,Radar Interface Module Mk III Variant 4,Avionics,High
PART-0624,674-786-918-562,Turbine Blade Set Type A Variant 4,Engines,Medium
PART-0625,383-332-6-598,Road Wheel Bearing Type B Variant 4,Ground Vehicles,Medium
PART-0626,175-579-440-710,Encryption Module Type C Variant 4,Communications,Medium
PART-0627,602-663-370-731,Radar Cooling Fan Heavy Duty Variant 4,Radar,Low
PART-0628,430-950-633-716,Fuel Line Assembly Extended Range Variant 4,Fuel Systems,Low
PART-0629,191-639-605-876,Heat Exchanger Core Field Repair Variant 4,Cooling Systems,Medium
PART-0630,43-674-479-314,Mounting Bracket Depot Level Variant 4,Structural,High
PART-0631,13-509-998-952,Pneumatic Hose Kit Mk I Variant 4,Pneumatics,High
PART-0632,115-605-786-573,Mount Stabilizer Bearing Mk II Variant 4,Weapons Support,Medium
PART-0633,807-619-770-602,Pressure Transducer Mk III Variant 4,Sensors,Medium
PART-0634,730-820-547-905,Breathing Regulator Type A Variant 4,Life Support,Medium
PART-0635,382-668-514-564,O-Ring Assortment Type B Variant 4,Maintenance Consumables,High
PART-0636,598-819-637-754,Clutch Plate Kit Type C Variant 4,Powertrain,Medium
PART-0637,697-106-760-961,Brake Rotor Heavy Duty Variant 4,Braking Systems,High
PART-0638,24-762-879-519,Inertial Measurement Unit Extended Range Variant 4,Navigation,Medium
PART-0639,541-821-79-48,Pallet Lock Assembly Field Repair Variant 4,Logistics Equipment,Medium
PART-0640,35-704-814-606,Rugged Server Power Supply Depot Level Variant 4,Cyber Systems,Low
PART-0641,481-713-729-80,Pressure Relief Valve Mk I Variant 4,Hydraulics,Medium
PART-0642,625-430-68-177,Circuit Breaker Mk II Variant 4,Electrical,Medium
PART-0643,51-835-187-986,Signal Processor Card Mk III Variant 4,Avionics,Low
PART-0644,115-254-392-168,Ignition Exciter Type A Variant 4,Engines,Low
PART-0645,174-33-393-623,Brake Caliper Kit Type B Variant 4,Ground Vehicles,Medium
PART-0646,737-285-93-325,Coaxial Cable Assembly Type C Variant 4,Communications,Medium
PART-0647,250-343-914-559,Receiver Module Heavy Duty Variant 4,Radar,Medium
PART-0648,674-657-545-997,Fuel Pressure Sensor Extended Range Variant 4,Fuel Systems,Medium
PART-0649,69-651-35-219,Coolant Pump Field Repair Variant 4,Cooling Systems,High
PART-0650,379-886-425-170,Frame Reinforcement Plate Depot Level Variant 4,Structural,Medium
PART-0651,556-129-618-847,Pressure Regulator Mk I Variant 4,Pneumatics,High
PART-0652,316-933-690-42,Recoil Buffer Seal Mk II Variant 4,Weapons Support,High
PART-0653,12-755-745-845,Optical Sensor Module Mk III Variant 4,Sensors,Medium
PART-0654,615-250-639-643,Air Filtration Cartridge Type A Variant 4,Life Support,Medium
PART-0655,471-626-206-420,Lubricant Pack Type B Variant 4,Maintenance Consumables,Medium
PART-0656,662-502-105-149,Gearbox Seal Type C Variant 4,Powertrain,High
PART-0657,665-195-721-695,Hydraulic Brake Line Heavy Duty Variant 4,Braking Systems,Medium
PART-0658,499-565-861-541,Compass Sensor Extended Range Variant 4,Navigation,Medium
PART-0659,26-779-776-827,Forklift Chain Field Repair Variant 4,Logistics Equipment,High
PART-0660,204-592-347-110,Data Storage Module Depot Level Variant 4,Cyber Systems,Low
PART-0661,599-184-72-303,Actuator Cylinder Mk I Variant 4,Hydraulics,Medium
PART-0662,402-744-766-171,Voltage Regulator Mk II Variant 4,Electrical,Medium
PART-0663,99-617-668-37,Flight Data Connector Mk III Variant 4,Avionics,High
PART-0664,30-159-464-609,Oil Filter Cartridge Type A Variant 4,Engines,Low
PART-0665,452-870-831-723,Transmission Filter Type B Variant 4,Ground Vehicles,Medium
PART-0666,173-633-94-945,Antenna Mast Section Type C Variant 4,Communications,Medium
PART-0667,872-238-366-575,Transmitter Power Supply Heavy Duty Variant 4,Radar,Medium
PART-0668,484-25-406-295,Fuel Filter Housing Extended Range Variant 4,Fuel Systems,Mission Critical
PART-0669,212-831-729-379,Thermostat Housing Field Repair Variant 4,Cooling Systems,Medium
PART-0670,469-551-419-309,Hinge Assembly Depot Level Variant 4,Structural,Medium
